data_moran_type,noise_moran,data_moran,rmse,corr,ssim,coverage_rate
pos,0.7783243991513341,0.00616001065541838,0.1987126416766985,0.25236163855844806,0.15147149864241632,0.8263
pos,0.7783243991513341,0.09349241387207337,0.1944285202017286,0.22308273839730836,0.1266347133726435,0.8207
pos,0.7783243991513341,0.6826718616465217,0.20791572093886232,0.2217968930920435,0.1276887191303166,0.8449
pos,0.7783243991513341,0.7901490161026219,0.19578336212603667,0.24817942669519685,0.15004608142443168,0.811
pos,0.7783243991513341,0.9463923951737099,0.20434796073897338,0.24661443571393088,0.13693918487227938,0.8349
pos,0.7783243991513341,0.9751159243360307,0.20349424982307404,0.2355355133227696,0.1390367298822693,0.8411
pos,0.7783243991513341,0.985281052243873,0.2050335996846628,0.2317128205119489,0.1352176357508439,0.8266
pos,0.7783243991513341,0.9900318460968314,0.21351255450413226,0.2192076219533858,0.12753665791353117,0.8444
pos,0.7783243991513341,0.9928030017007318,0.2100931827318971,0.226954132723171,0.13455514613617503,0.8375
pos,0.9396717790663035,0.00616001065541838,0.08390215874132047,0.5548492213271897,0.2963702853844663,0.8667
pos,0.9396717790663035,0.09349241387207337,0.08653608555150191,0.53109436103743,0.2833994713589376,0.8737
pos,0.9396717790663035,0.6826718616465217,0.08455787618999747,0.5668577551975424,0.2867545486925919,0.8636
pos,0.9396717790663035,0.7901490161026219,0.0829895775990331,0.5836879541374683,0.3189007178086933,0.8632
pos,0.9396717790663035,0.9463923951737099,0.08166623869665796,0.5821854873423691,0.3106901612118685,0.8624
pos,0.9396717790663035,0.9751159243360307,0.08513019209675977,0.5450032376087179,0.2851404205059045,0.8581
pos,0.9396717790663035,0.985281052243873,0.08452628225243532,0.5552040394639938,0.2870181846163159,0.8678
pos,0.9396717790663035,0.9900318460968314,0.08352651826575594,0.5926613041138179,0.30939720783533287,0.8755
pos,0.9396717790663035,0.9928030017007318,0.08318027808587729,0.5565475660281729,0.30357993057577365,0.8578
pos,0.9722701355341671,0.00616001065541838,0.045018234961206965,0.7469219435094345,0.44754055438659013,0.8828
pos,0.9722701355341671,0.09349241387207337,0.04715773523529552,0.7216522182149366,0.438315499482111,0.8856
pos,0.9722701355341671,0.6826718616465217,0.04715083550777318,0.7191708122733972,0.4207741355334914,0.89
pos,0.9722701355341671,0.7901490161026219,0.04557337288648869,0.7191462991241285,0.4199547552181243,0.8732
pos,0.9722701355341671,0.9463923951737099,0.04663171361324903,0.746591280968009,0.4430952255669613,0.8981
pos,0.9722701355341671,0.9751159243360307,0.04726255987226149,0.7364902881748411,0.44382652750597845,0.9057
pos,0.9722701355341671,0.985281052243873,0.04483781441697915,0.7380219635724071,0.44803435103764033,0.8742
pos,0.9722701355341671,0.9900318460968314,0.04699293795162147,0.7334418670236605,0.4409229951525549,0.8865
pos,0.9722701355341671,0.9928030017007318,0.04677874928767003,0.7459651221928639,0.4564572883697508,0.8993
