data_moran_type,noise_moran,data_moran,rmse,corr,ssim,coverage_rate,mape,nrmse
pos,0.0024656720961570484,0.00616001065541838,0.7978398705126644,0.03230475152182477,0.048005017589946075,0.8673,21.43958914987747,1.2363321481367096
pos,0.0024656720961570484,0.09349241387207337,0.8199998094720601,0.03021157558792937,0.043387883842009804,0.8716,20.196750611890007,1.260661629162872
pos,0.0024656720961570484,0.6826718616465217,0.8055097188142735,0.03937998358920273,0.04857443046913224,0.8777,18.370748497578685,1.1983145247631382
pos,0.0024656720961570484,0.7901490161026219,0.8193881378799936,0.032753208631244195,0.050002029309580524,0.8827,24.901965809472614,1.202629599752561
pos,0.0024656720961570484,0.9463923951737099,0.8051033690715128,0.04648738265973204,0.0550640581432005,0.8772,24.999074746625624,1.1965663779167697
pos,0.0024656720961570484,0.9751159243360307,0.807066809349455,0.03982480339729389,0.0490925361700714,0.8725,23.732636750751062,1.2242009657011281
pos,0.0024656720961570484,0.985281052243873,0.8285412955359445,0.056009800871033785,0.054037699452786685,0.8838,16.88984423459315,1.2266378121447377
pos,0.0024656720961570484,0.9900318460968314,0.7911377908579154,0.03774770342562822,0.049877957638506526,0.8635,18.078357218729778,1.2272238814051286
pos,0.0024656720961570484,0.9928030017007318,0.8117438935984276,0.043250606069400115,0.04677849691826185,0.8771,18.867996782041402,1.2177313640483318
pos,0.010416822760047429,0.00616001065541838,0.7722196605308992,0.034037190038152344,0.044504564459119156,0.8642,9.619353055114797,1.215037448184394
pos,0.010416822760047429,0.09349241387207337,0.8145103499452511,0.05585440740969913,0.05524634505605111,0.8918,9.748390233767847,1.1851313701870518
pos,0.010416822760047429,0.6826718616465217,0.7667344521788714,0.03816149686349923,0.045326345885344205,0.8651,8.754429860703906,1.1845353480276193
pos,0.010416822760047429,0.7901490161026219,0.8515688514618251,0.03237743015847163,0.04316264403259327,0.8909,9.77464497813364,1.2317890385591714
pos,0.010416822760047429,0.9463923951737099,0.8310108642940496,0.04454720566726589,0.04410218751175284,0.8693,9.46676966073203,1.2953666581490055
pos,0.010416822760047429,0.9751159243360307,0.8255324556710371,0.03488757019724871,0.049249841498306336,0.88,10.440617022530471,1.232042591804654
pos,0.010416822760047429,0.985281052243873,0.8042070416659475,0.043530306574958426,0.05122422315920667,0.8764,9.279395574468344,1.2176562440847853
pos,0.010416822760047429,0.9900318460968314,0.7963283615302204,0.027915430921667383,0.04584549005226888,0.8673,9.39847239218577,1.2407783488843367
pos,0.010416822760047429,0.9928030017007318,0.7924236347218785,0.04669942292254872,0.04284910628014437,0.867,9.913470834305109,1.2498672162379372
pos,0.26801473143435683,0.00616001065541838,0.5163769537522309,0.056191724320062114,0.04786197504432533,0.8591,25.47470280539811,1.261077526351949
pos,0.26801473143435683,0.09349241387207337,0.5160268694155961,0.04216100271617614,0.05125308110213734,0.8767,29.08545357077914,1.1889845900278972
pos,0.26801473143435683,0.6826718616465217,0.5472896972955844,0.03682871985814707,0.041080593239529346,0.8884,27.62740347657609,1.2243802629205192
pos,0.26801473143435683,0.7901490161026219,0.5009896722622625,0.03932976732239201,0.04894429855080155,0.8562,25.836639813616543,1.2287902357700147
pos,0.26801473143435683,0.9463923951737099,0.5335144834388126,0.06349572299521117,0.052074018422513024,0.8837,28.924376808368635,1.2130760230239024
pos,0.26801473143435683,0.9751159243360307,0.520652444988274,0.06873695766496658,0.05160996383276051,0.8685,26.562747102531418,1.2265013693781297
pos,0.26801473143435683,0.985281052243873,0.5467671467145467,0.056982291910009024,0.04915736997516156,0.8855,28.56416259027362,1.2352949086802927
pos,0.26801473143435683,0.9900318460968314,0.5133763979812102,0.049880045730744525,0.05004043242274995,0.873,27.473290216516812,1.196743581494849
pos,0.26801473143435683,0.9928030017007318,0.5262522907858631,0.05097537042515161,0.04773363657206671,0.8809,26.525389557589683,1.1994237483500099
pos,0.45073020267867514,0.00616001065541838,0.4101248531850997,0.08171708740276913,0.061069370602582974,0.8861,45.92407744410122,1.1713337870167182
pos,0.45073020267867514,0.09349241387207337,0.3958146000266735,0.09558598144112479,0.06685613157699453,0.876,48.343540656474424,1.1706766257338936
pos,0.45073020267867514,0.6826718616465217,0.4099745086835507,0.08452684957227397,0.061025828994711415,0.8735,47.99100239691161,1.2321044242555497
pos,0.45073020267867514,0.7901490161026219,0.39965173339633403,0.08826233592599875,0.07021397254361691,0.875,53.54209203373472,1.2002463720288707
pos,0.45073020267867514,0.9463923951737099,0.4169059294288988,0.09286707250098482,0.061685999400786555,0.8867,45.15280403290489,1.1943742555884316
pos,0.45073020267867514,0.9751159243360307,0.3995007312958848,0.08960938519621976,0.07020782949587959,0.8767,42.397198185597624,1.1849929872692235
pos,0.45073020267867514,0.985281052243873,0.3986998984173305,0.09750324078113107,0.06721246888080622,0.8733,58.46510353373329,1.2027859303230986
pos,0.45073020267867514,0.9900318460968314,0.4054766348356257,0.0928393464386155,0.06178563757121163,0.8754,51.387340124614305,1.2050172718417063
pos,0.45073020267867514,0.9928030017007318,0.4129189148085213,0.07175766199006266,0.057066472351363993,0.8912,37.04854061128554,1.1749245362354177
pos,0.5842502550423997,0.00616001065541838,0.3451684948314911,0.11408724883485506,0.06984541082845892,0.8919,16.509933561551282,1.1822551598410862
pos,0.5842502550423997,0.09349241387207337,0.3409136734652393,0.0955732040963433,0.06692450231177015,0.8765,15.803616232230494,1.2058301027207277
pos,0.5842502550423997,0.6826718616465217,0.33083955070990456,0.08462646951994636,0.07165984295716493,0.8719,16.07651304456657,1.2030121022025435
pos,0.5842502550423997,0.7901490161026219,0.3317395766463103,0.12325735137252868,0.08362369821602605,0.873,16.012834163575366,1.1840186822094683
pos,0.5842502550423997,0.9463923951737099,0.3246579157999907,0.1212290151784363,0.08330396238801036,0.8646,15.31800010392383,1.1903115696549145
pos,0.5842502550423997,0.9751159243360307,0.333156356449846,0.08725164968509257,0.07240633432129122,0.8708,16.345577398018648,1.2105391250664568
pos,0.5842502550423997,0.985281052243873,0.3157599674951255,0.11106509965384782,0.07175961988143661,0.8656,15.371196688454795,1.1619036079573322
pos,0.5842502550423997,0.9900318460968314,0.328772032948555,0.1087103104504617,0.07177049460504441,0.88,15.714533700499103,1.1471460736562207
pos,0.5842502550423997,0.9928030017007318,0.3421546722311234,0.10371919712144935,0.07042022588708015,0.8813,15.365146586784322,1.2048465135007105
pos,0.6725569400218279,0.00616001065541838,0.2900331407669406,0.16017546700167837,0.09231634973515686,0.8793,12.245758594340355,1.192123371143793
pos,0.6725569400218279,0.09349241387207337,0.28146016257521855,0.12769585503911446,0.08583229992047901,0.8659,11.998498448587279,1.179017117133547
pos,0.6725569400218279,0.6826718616465217,0.272411380902996,0.1077287589918976,0.07867685033508738,0.865,11.314715459159823,1.1580697994229068
pos,0.6725569400218279,0.7901490161026219,0.2818722170222831,0.12979199669379524,0.08292004721786107,0.8773,12.517744748521796,1.165538085643559
pos,0.6725569400218279,0.9463923951737099,0.2887412457982564,0.10915508609348488,0.07358303511019218,0.8897,12.68945087266588,1.1478759698466114
pos,0.6725569400218279,0.9751159243360307,0.28748980202461644,0.1381052630253049,0.0799661026444774,0.8725,12.35247036766338,1.1942790458425356
pos,0.6725569400218279,0.985281052243873,0.28440417845455035,0.12946095883887468,0.08063316752648578,0.8724,12.75585483238749,1.1779077887700238
